token,address,identity,exclusion_reason,chain,hhi_before,hhi_after,source
LPT,0xc20de37170b45774e6cd3d2304017fc962f27252,Livepeer Minter,Protocol inflation reserve holding unminted tokens,Arbitrum,0.776355,0.198868,Blockscout verified contract label
LPT,0xf977814e90da44bfa03b6295a0616a897441acec,Binance 8 (exchange),Exchange custodian — customer deposits not governance votes,Arbitrum,0.776355,0.198868,Blockscout/OLI tag
GMX,0x908c4d94d34924765f1edc22a1dd098397c59dd4,sGMX RewardTracker,Staking contract holding tokens on behalf of stakers,Arbitrum,0.388968,0.056379,Blockscout verified (name=RewardTracker; token=sGMX)
RPL,0x3bdc69c4e5e13e52a65f5583c23efb9636b469d6,RocketVault,Rocket Pool protocol treasury vault,Ethereum,0.252967,0.03915,Blockscout verified (Rocket Pool: Vault tag)
ENS,0xd7a029db2585553978190db5e85ec724aa4df23f,TokenLock,Vesting lock contract (team/foundation allocation),Ethereum,0.286087,0.134531,Blockscout verified (name=TokenLock)
WXM,0x93f1a412050bab0c317844361e4cc801ed5aca72,WXM treasury/vesting (unverified),Unverified contract holding 74.8% of WXM supply — likely foundation/vesting,Arbitrum,0.569287,0.147854,Contract created by WXM team deployer 2024-05-28; unverified source code
DIMO,0xc97bf974d6d4bab6e0f7641b7b37ec5b70922ce5,DIMO Foundation (unverified),Unverified Polygon contract holding 52.3% of DIMO — likely foundation treasury,Polygon,0.281686,0.037903,Polygon Blockscout 500 error; contract pattern consistent with foundation wallet
POL,0x5e3ef299fddf15eaa0432e6e66473ace8c13d908,Polygon StakeManagerProxy,PoS validator staking contract — holds staked tokens for all validators,Ethereum,0.227909,0.034817,Blockscout verified (Polygon PoS Staking Contract tag)
POL,0x401f6c983ea34274ec46f84d70b31c151321188b,Polygon DepositManagerProxy,Plasma Bridge contract — holds bridged tokens in transit,Ethereum,0.227909,0.034817,Blockscout verified (Polygon Plasma Bridge tag)
MPL_SYRUP,0x9c9499edd0cd2dcbc3c9dd5070baf54777ad8f2c,Syrup Migrator,MPL→SYRUP token migration contract holding unclaimed MPL,Ethereum,0.216165,0.024211,Blockscout verified (Syrup: Migrator tag)
MPL_SYRUP,0xc7e8b36e0766d9b04c93de68a9d47dd11f260b45,stSYRUP (xMPL),ERC-4626 staked SYRUP vault — holds SYRUP on behalf of depositors,Ethereum,0.216165,0.024211,Blockscout verified (Syrup.fi: stSYRUP Token; ERC-4626)
RENDER,0x3ee18b2214aff97000d974cf647e7c347e8fa585,Wormhole Token Bridge,Holds legacy Ethereum RNDR after migration to Solana — bridge custodian,Ethereum,0.577523,0.032305,Blockscout verified (Wormhole: Token Bridge tag)
AAVE,0x4da27a545c0c5b758a6ba100e3a049001de870f5,Staked AAVE (stkAAVE),ERC-4626-like staking contract with pass-through delegation; governance power held by individual stakers not contract,Ethereum,0.059344,0.020202,Blockscout verified (Kleros); Nansen stkAAVE labels; user confirmed delegation passthrough
UNI,0x1a9c8182c09f50c8318d769245bea52c32be35bc,UNI Timelock (governance treasury),"GovernorBravo executor; delegates()=0x0000...0000, getCurrentVotes()=0; 264.6M UNI completely inert for governance",Ethereum,0.100843,0.0322,Blockscout verified (Uniswap V2: UNI Timelock); user confirmed zero voting power
GRT,0x36aff7001294dae4c2ed4fdefc478a00de77f090,GRT BridgeEscrow (L1→Arbitrum),"GraphProxy → BridgeEscrow; pure custodial lockbox, zero governance/delegation functions; L2 holders govern",Ethereum,0.099984,0.0356,Blockscout verified proxy; Nansen confirmed; identical pattern to RENDER Wormhole
ARB,0xf3fc178157fb3c87548baa86f9d24ba38e649b58,Arbitrum FixedDelegateErc20Wallet,L2 governance treasury; FixedDelegateErc20Wallet proxy created by L2GovernanceFactory; fixed delegation set at init,Ethereum,0.097016,0.0123,L2 smart contract appearing as EOA on Ethereum; creator L2GovernanceFactory confirmed
OP,0x2a82ae142b2e62cb7d10b55e323acb1cab663a26,Optimism Foundation GnosisSafe,GnosisSafeProxy created April 2022 around token genesis; no meaningful outbound transfers; foundation treasury,Ethereum,0.12066,0.0418,GnosisSafeProxyFactory creator; creation date matches token genesis; behavioral pattern confirmed
COMP,0x3d9819210A31b4961b30EF54bE2aeD79B9c9Cd3B,Comptroller,Protocol-controlled address: Comptroller,Ethereum,,,Blockscout top-holder analysis + on-chain verification
COMP,0x6d903f6003cca6255D85CcA4D3B5E5146dC33925,Timelock,Protocol-controlled address: Timelock,Ethereum,,,Blockscout top-holder analysis + on-chain verification
COMP,0xc0Da02939E1441F497fd74F78cE7Decb17B66529,Governor Bravo,Protocol-controlled address: Governor Bravo,Ethereum,,,Blockscout top-holder analysis + on-chain verification
COMP,0x2775b1c75658Be0F5a7235755D462ee099aff4E4,Reservoir,Protocol-controlled address: Reservoir,Ethereum,,,Blockscout top-holder analysis + on-chain verification
COMP,0x91d14789071e5E195FFC9F745348736677De3292,DComp (354K COMP),Protocol-controlled address: DComp (354K COMP),Ethereum,,,Blockscout top-holder analysis + on-chain verification
COMP,0xc3d688B66703497DAA19211EEdff47f25384cdc3,Compound USDCv3 Token (100K COMP),Protocol-controlled address: Compound USDCv3 Token (100K COMP),Ethereum,,,Blockscout top-holder analysis + on-chain verification
COMP,0x3Afdc9BCA9213A35503b077a6072F3D0d5AB0840,Compound cUSDTv3 Token (100K COMP),Protocol-controlled address: Compound cUSDTv3 Token (100K COMP),Ethereum,,,Blockscout top-holder analysis + on-chain verification
CRV,0x5f3b5DfEb7B28CDbD7FAba78963EE202a494e2A2,veCRV locker (857M CRV),Protocol-controlled address: veCRV locker (857M CRV),Ethereum,,,Blockscout top-holder analysis + on-chain verification
CRV,0xd061D61a4d941c39E5453435B6345Dc261C2fcE0,CRV Minter,Protocol-controlled address: CRV Minter,Ethereum,,,Blockscout top-holder analysis + on-chain verification
CRV,0x2F50D538606Fa9EDD2B11E2446BEb18C9D5846bB,GaugeController,Protocol-controlled address: GaugeController,Ethereum,,,Blockscout top-holder analysis + on-chain verification
